permanent_ID,Lat,Lon,Hydrologic Group,Elevation (m),Drainage Class,Available Water Storage (0-150cm),Geologic Layer,Slope
126551899,42.73694847,-103.0549051, D,1174.290039, Well drained,10.98999977, White River Group,14.53009987
126551903,42.68368167,-103.0161117, D,1212.670044, Well drained,10.98999977, Arikaree Group,19.25530052
124602565,42.79831527,-98.67668282, D,471.2250061, Well drained,3.99000001, Pierre Shale,7.371930122
124603126,42.7349056,-99.02330829, B/D,616.7020264, Poorly drained,10.06999969, Ogallala Group,0.85166198
124603128,42.7179198,-99.04296689, A,607.8800049, Excessively drained,6.96999979, Ogallala Group,1.080450058
124603130,42.69311507,-99.08970409, A,627.882019, Excessively drained,6.96999979, Ogallala Group,7.959109783
124603132,42.67065327,-99.07277749, A,633.4089966, Excessively drained,9.550000191, Ogallala Group,1.543319941
124603134,42.65336587,-99.06976282, B/D,634.4689941, Poorly drained,10.06999969, Ogallala Group,2.457420111
124603136,42.64372547,-99.07229762, B/D,636.684021, Poorly drained,10.06999969, Ogallala Group,0.283441007
126551971,42.6207632,-103.1852772, D,1255.410034, Well drained,10.98999977, Arikaree Group,3.477469921
126552443,42.6562796,-103.2580413, D,1199.550049, Well drained,10.98999977, Arikaree Group,10.9708004
126552696,42.64966587,-103.2655914, D,1183.439941, Well drained,10.98999977, White River Group,32.95220184
126553032,42.59767907,-103.4534508, A,1267.180054, Well drained,18.17000008, Arikaree Group,3.915359974
126554665,42.627878,-103.7578056, A,1362.839966, Somewhat excessively drained,16.70000076, Arikaree Group,0.523163974
126565854,42.706986,-103.589939, A,1284.130005, Well drained,19.62999916, Arikaree Group,0.887543976
127736823,42.7268962,-99.37203882, A/D,636.2490234, Very poorly drained,12.35000038, Ogallala Group,1.153779984
127732080,42.79839867,-101.0524151, A/D,813.9199829, Very poorly drained,14.84000015, Ogallala Group,1.160509944
127732156,42.783368,-101.0310135, A,811.0739746, Excessively drained,9.670000076, Ogallala Group,5.326779842
127732194,42.79021927,-100.9606151, A,809.1469727, Excessively drained,9.670000076, Ogallala Group,15.54730034
127732297,42.7879494,-100.9167446, B/D,783.3800049, Very poorly drained,13.71000004, Ogallala Group,5.640580177
127736825,42.72826287,-99.36108669, A,633.0910034, Excessively drained,13.26000023, Ogallala Group,4.614260197
127732386,42.91562387,-100.3761753, A,731.1680298, Excessively drained,9.670000076, Ogallala Group,9.736949921
127732388,42.8911286,-100.4681482, A,750.9240112, Somewhat excessively drained,14.48999977, Ogallala Group,11.34840012
127737138,42.7798352,-100.0276323, A,673.085022, Excessively drained,9.670000076, White River Group,20.45219994
127733443,42.86906647,-99.07362789, A,535.3980103, Excessively drained,12.15999985, Pierre Shale,3.435529947
127733872,42.48054467,-99.72754922, A,744.5650024, Excessively drained,10.47000027, Ogallala Group,0.826960027
127738878,42.8944748,-100.3724664, A,733.4379883, Excessively drained,9.670000076, Ogallala Group,7.251150131
127738879,42.893357,-100.3685686, A,736.0900269, Excessively drained,9.670000076, Ogallala Group,0.363786995
127740295,42.73528227,-99.16010862, A,638.5230103, Excessively drained,9.550000191, Ogallala Group,1.150679946
127740297,42.7303996,-99.19006822, A,650.0390015, Excessively drained,9, Ogallala Group,3.140680075
127740755,42.927231,-100.5221756, A,779.6870117, Excessively drained,9.670000076, Ogallala Group,2.27241993
127741570,42.82478107,-100.5321748, A,757.9500122, Excessively drained,9.670000076, Ogallala Group,14.12129974
127741572,42.8249516,-100.5335169, A,743.2739868, Excessively drained,9.670000076, Ogallala Group,22.05089951
127741580,42.80725827,-100.613583, B/D,747.9140015, Very poorly drained,13.71000004, Ogallala Group,15.17070007
127741904,42.78871507,-100.6289481, A,780.9290161, Excessively drained,9.670000076, Ogallala Group,27.2397995
127741905,42.7923486,-100.6412486, A,770.0369873, Excessively drained,9.670000076, Ogallala Group,4.897550106
127735243,42.5526234,-99.70085502, A,687.4829712, Well drained,9.649999619, Ogallala Group,8.257390022
128445406,42.80994707,-97.72947969, D,430.4249878, Well drained,10.71000004, Ogallala Group,10.81649971
128446980,42.596107,-97.93254383, B,484.3640137, Well drained,29.59000015, Pierre Shale,12.53549957
124602488,42.6576328,-97.97627809, B,487.5870056, Well drained,29.59000015, Ogallala Group,2.15576005
124603340,42.73717307,-99.02372389, B/D,613.4869995, Poorly drained,10.06999969, Ogallala Group,1.478700042
167754176,42.8151124,-98.66858182, D,480.5490112, Well drained,4.230000019, Pierre Shale,1.243309975
149160193,42.50471007,-103.2968266, D,1298.930054, Well drained,6.730000019, Arikaree Group,3.405420065
127732193,42.7908984,-100.9474082, A,795.0819702, Moderately well drained,16.54999924, Ogallala Group,0.902203977
127732389,42.895279,-100.4643805, A,747.5670166, Excessively drained,11.15999985, Ogallala Group,5.455949783
127733873,42.474892,-99.67777029, A,735.947998, Excessively drained,12.86999989, Ogallala Group,10.89379978
127736815,42.73625467,-99.29806769, A,619.177002, Excessively drained,11.11999989, Ogallala Group,3.161200047
127736824,42.73282007,-99.34333729, A,637.3469849, Well drained,12.60000038, Ogallala Group,2.050120115
128452550,42.7115342,-97.76438009, A,468.8779907, Excessively drained,9.720000267, Pierre Shale,2.113480091
