Geology,Hydro,Count
Pierre Shale,A,5
Pierre Shale,B,1
Pierre Shale,C,0
Pierre Shale,D,5
Pierre Shale,A/D,0
Pierre Shale,B/D,0
Ogallala,A,54
Ogallala,B,1
Ogallala,C,2
Ogallala,D,2
Ogallala,A/D,7
Ogallala,B/D,8
Arikaree,A,8
Arikaree,B,0
Arikaree,C,0
Arikaree,D,8
Arikaree,A/D,0
Arikaree,B/D,0
Niobrara,A,0
Niobrara,B,1
Niobrara,C,0
Niobrara,D,0
Niobrara,A/D,0
Niobrara,B/D,0
White River,A,3
White River,B,2
White River,C,0
White River,D,2
White River,A/D,0
White River,B/D,0
